dataset,model,params,policy,accuracy,precision,recall,f1score,latency
cifar10,basic,1091594,1,0.8516,0.851684895,0.8516,0.850946233,646.675142
cifar10,basic,1091594,2,0.8895,0.891336582,0.8895,0.890070213,1076.573843
cifar10,basic,1091594,3,0.1021,0.020147414,0.1021,0.032112337,321.1669452
cifar10,basic,1091594,4,0.8072,0.81242154,0.8072,0.808462247,918.5249228
cifar10,basic,1091594,5,0.6422,0.658380268,0.6422,0.646461882,641.5190498
