dataset,model,params,policy,accuracy,precision,recall,f1score,latency
cifar10,basic,1091594,1,0.8516,0.851684895,0.8516,0.850946233,646.675142
cifar10,basic,1091594,2,0.8895,0.891336582,0.8895,0.890070213,1076.573843
cifar10,basic,1091594,3,0.5783,0.59919878,0.5783,0.581443281,426.9207792
cifar10,basic,1091594,4,0.8364,0.836979888,0.8364,0.836402334,1187.816781
cifar10,basic,1091594,5,0.6859,0.696263049,0.6859,0.689179638,711.0288288
