dataset,model,params,policy,accuracy,precision,recall,f1score,latency,delta(%)
mnist,noelnet,1091594.0,1,0.9943,0.9944,0.9942,0.9943,350.44,0.0
mnist,noelnet,1091594.0,2,0.9961,0.9961,0.9961,0.9961,947.72,0.18
mnist,noelnet,1091594.0,3,0.9894,0.9894,0.9894,0.9894,557.72,-0.49
mnist,noelnet,1091594.0,4,0.9944,0.9944,0.9943,0.9944,955.33,0.01
mnist,noelnet,1091594.0,5,0.9913,0.9915,0.9913,0.9914,934.65,-0.3
