dataset,model,params,policy,accuracy,precision,recall,f1score,latency,delta(%)
cifar10,inception,21823274.0,1,0.8196,0.8229,0.8196,0.8192,1288.29,0.0
cifar10,inception,21823274.0,2,0.9134,0.9142,0.9134,0.9135,2912.68,11.44
cifar10,inception,21823274.0,3,0.6483,0.668,0.6483,0.6441,1370.89,-20.9
cifar10,inception,21823274.0,4,0.8292,0.8389,0.8292,0.829,2540.52,1.17
cifar10,inception,21823274.0,5,0.6954,0.7068,0.6954,0.6981,1428.52,-15.15
