dataset,model,params,policy,accuracy,precision,recall,f1score,latency,delta(%)
mnist,resnet,23585290.0,1,0.9914,0.9916,0.9913,0.9914,913.78,0.0
mnist,resnet,23585290.0,2,0.9937,0.9938,0.9936,0.9937,1391.58,0.23
mnist,resnet,23585290.0,3,0.9874,0.9873,0.9874,0.9873,851.93,-0.4
mnist,resnet,23585290.0,4,0.993,0.9931,0.9929,0.993,1731.26,0.16
mnist,resnet,23585290.0,5,0.9894,0.9895,0.9893,0.9893,1425.05,-0.2
