dataset,model,params,policy,accuracy,precision,recall,f1score,latency
mnist,basic,1091594,1,0.9943,0.994381931,0.994165523,0.994266303,350.4382398
mnist,basic,1091594,2,0.9961,0.996122953,0.996064764,0.996090925,947.7155358
mnist,basic,1091594,3,0.9894,0.989418619,0.989371416,0.989386984,557.7236373
mnist,basic,1091594,4,0.9944,0.994376586,0.994342754,0.994353049,955.3267331
mnist,basic,1091594,5,0.9913,0.991491164,0.991282779,0.991359252,934.6535902
