dataset,model,params,policy,accuracy,precision,recall,f1score,latency,delta(%)
fmnist,basic,1091594.0,1,0.9288,0.9292,0.9288,0.9287,323.44,0.0
fmnist,basic,1091594.0,2,0.9424,0.9422,0.9424,0.9421,978.84,1.46
fmnist,basic,1091594.0,3,0.8634,0.8635,0.8634,0.8617,251.74,-7.04
fmnist,basic,1091594.0,4,0.9307,0.9303,0.9307,0.9304,587.46,0.2
fmnist,basic,1091594.0,5,0.8724,0.8719,0.8724,0.871,570.45,-6.07
