dataset,model,params,policy,accuracy,precision,recall,f1score,latency,delta(%)
mnist,basic,1091594.0,1,0.9943,0.9944,0.9942,0.9943,350.44,0.0
mnist,basic,1091594.0,2,0.9961,0.9961,0.9961,0.9961,947.72,0.18
mnist,basic,1091594.0,3,0.9894,0.9894,0.9894,0.9894,557.72,-0.49
mnist,basic,1091594.0,4,0.9944,0.9944,0.9943,0.9944,955.33,0.01
mnist,basic,1091594.0,5,0.9892,0.9892,0.9892,0.9891,630.04,-0.51
