dataset,model,params,policy,accuracy,precision,recall,f1score,latency,delta(%)
fmnist,inception,21823274,1,0.9167,0.9166,0.9167,0.9163,1643.11,0
fmnist,inception,21823274,2,0.9482,0.9484,0.9482,0.9482,2471.1,3.44
fmnist,inception,21823274,3,0.8527,0.8595,0.8527,0.8543,1542.88,-6.98
fmnist,inception,21823274,4,0.9353,0.9364,0.9353,0.935,3216.64,2.03
fmnist,inception,21823274,5,0.8825,0.8831,0.8825,0.8821,1842.89,-3.73
