dataset,model,params,policy,accuracy,precision,recall,f1score,latency,delta(%)
fmnist,resnet,23585290.0,1,0.8985,0.9002,0.8985,0.8968,752.52,0.0
fmnist,resnet,23585290.0,2,0.9266,0.9279,0.9266,0.9269,1300.34,3.13
fmnist,resnet,23585290.0,3,0.8267,0.8289,0.8267,0.8206,690.77,-7.99
fmnist,resnet,23585290.0,4,0.9159,0.917,0.9159,0.9162,1587.41,1.94
fmnist,resnet,23585290.0,5,0.85,0.8582,0.85,0.8518,970.13,-5.4
