dataset,model,params,policy,accuracy,precision,recall,f1score,latency,delta(%)
cifar10,resnet,23585290.0,1,0.7339,0.7476,0.7339,0.7358,617.33,0.0
cifar10,resnet,23585290.0,2,0.8517,0.8535,0.8517,0.8523,1415.69,16.05
cifar10,resnet,23585290.0,3,0.6286,0.6351,0.6286,0.6258,587.1,-14.35
cifar10,resnet,23585290.0,4,0.7671,0.7759,0.7671,0.7683,1222.09,4.52
cifar10,resnet,23585290.0,5,0.6915,0.7006,0.6915,0.6937,960.22,-5.78
